title,location,land_size,total_price
Land For Sale In Athurugiriya,"Colombo , Athurugiriya",6 Perches,"7,500,000"
Land For Sale In Homagama,"Colombo , Homagama",7.9 Perches,"5,135,000"
Land For Sale In Godagama,"Colombo , Godagama",7.9 Perches,"5,135,000"
Land For Sale In Watareka,"Colombo , Watareka",7.9 Perches,"5,135,000"
Land For Sale In Meegoda,"Colombo , Meegoda",7.9 Perches,"5,135,000"
Land For Sale In Kahathuduwa,"Colombo , Kahathuduwa",23.9 Perches,"9,321,000"
Land For Sale In Kadawatha,"Gampaha , Kadawatha",18 Perches,"10,800,000"
Land For Sale In Minuwangoda,"Gampaha , Minuwangoda",12 Perches,"6,000,000"
Land For Sale In Wellawaya,"Monaragala , Wellawaya",240 Perches,"5,000,000"
Land For Sale In Panadura,"Kalutara , Panadura",12 Perches,"21,900,000"
Land For Sale In Weliveriya,"Gampaha , Weliveriya",20 Perches,"3,800,000"
Land With House For Sale In Kiribathgoda,"Gampaha , Kiribathgoda",67 Perches,"21,775,000"
Land For Sale In Matara,"Matara , Matara",10.5 Perches,"4,725,000"
Land For Sale In Athurugiriya,"Colombo , Athurugiriya",6 Perches,"4,200,000"
Land For Sale In Kahathuduwa,"Colombo , Kahathuduwa",48 Perches,"21,600,000"
Land For Sale In Colombo 08,"Colombo , Colombo 08",11 Perches,"63,800,000"
Land With House For Sale In Weligama,"Matara , Weligama",60 Perches,"46,500,000"
Land For Sale In Homagama,"Colombo , Homagama",10 Perches,"4,500,000"
Land For Sale In Avissawella,"Colombo , Avissawella",10 Perches,"3,000,000"
Land For Sale In Millaniya,"Kalutara , Millaniya",12.5 Perches,"1,875,000"
Land For Sale In Homagama,"Colombo , Homagama",6.3 Perches,"4,725,000"
Land For Sale In Kahathuduwa,"Colombo , Kahathuduwa",6 Perches,"3,450,000"
Land For Sale In Kirindiwela,"Gampaha , Kirindiwela",10 Perches,"2,700,000"
Land For Sale In Urapola,"Gampaha , Urapola",10 Perches,"2,700,000"
Land For Sale In Kaduwela,"Colombo , Kaduwela",7.4 Perches,"4,070,000"
Land For Sale In Kandy,"Kandy , Kandy",160 Perches,"15,840,000"
Land For Sale In Haragama,"Kandy , Haragama",160 Perches,"15,840,000"
Land For Sale In Beruwala,"Kalutara , Beruwala",12.5 Perches,"1,250,000"
Land For Sale In Dharga Town,"Kalutara , Dharga Town",12.5 Perches,"1,250,000"
Land For Sale In Horana,"Kalutara , Horana",10 Perches,"1,800,000"
Land For Sale In Homagama,"Colombo , Homagama",10 Perches,"3,500,000"
Land For Sale In Nittambuwa,"Gampaha , Nittambuwa",10 Perches,"2,700,000"
Land For Sale In Athurugiriya,"Colombo , Athurugiriya",6.2 Perches,"4,340,000"
Land For Sale In Kottawa,"Colombo , Kottawa",6.2 Perches,"6,510,000"
